Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
6/12/2015,712.1,716.1,707,708.5,709.5992939,1133,147,803976,678,59.84,9.1,-3.6
6/11/2015,720,720,710,712.35,714.6264544,1633,253,1166985,967,59.22,10,-7.65
6/10/2015,719.8,728,711.6,714.8,720.3052556,1389,199,1000504,390,28.08,16.4,-5
6/9/2015,723.1,723.1,702.85,708.4,709.5396096,3484,319,2472036,2197,63.06,20.25,-14.7
6/8/2015,731.8,734.9,717,721.2,726.5168421,950,81,690191,760,80,17.9,-10.6
6/5/2015,736.4,736.45,721,724.85,728.3480935,1626,175,1184294,498,30.63,15.45,-11.55
6/4/2015,732.3,735,722.6,729.9,728.4290139,1937,239,1410967,711,36.71,12.4,-2.4
6/3/2015,719.6,734,713.9,729.45,724.5547445,3425,387,2481600,1550,45.26,20.1,9.85
6/2/2015,728.2,730,718.1,722.6,725.8618888,2679,268,1944584,906,33.82,11.9,-5.6
6/1/2015,735.4,735.7,725.8,727.7,729.2504318,1158,137,844472,603,52.07,9.9,-7.7
5/29/2015,725.75,739.7,701,732.45,727.0489234,8360,564,6078129,3754,44.9,38.7,6.7
5/28/2015,740.2,750.05,733,735.3,740.6192318,3619,229,2680301,2116,58.47,17.05,-4.9
5/27/2015,726.75,741,723.15,738.35,732.6657768,1873,197,1372283,868,46.34,17.85,11.6
5/26/2015,724.6,728.3,710.7,725,723.7584459,1776,270,1285395,790,44.48,17.6,0.4
5/25/2015,724.5,734.4,721.1,723.4,726.9150073,2059,201,1496718,697,33.85,13.3,-1.1
5/22/2015,737.6,743.4,715,722,726.1808259,5497,356,3991816,4021,73.15,28.4,-15.6
5/21/2015,746.3,746.35,729,731.75,734.7342657,2002,144,1470938,610,30.47,17.35,-14.55
5/20/2015,747.35,748,733,739.35,740.3430894,1845,112,1365933,914,49.54,15,-8
5/19/2015,748.7,750.7,731.65,741.4,741.9139139,3996,274,2964688,2253,56.38,19.05,-7.3
5/18/2015,746.8,766,745.2,749.5,754.7048142,4736,335,3574282,1466,30.95,20.8,2.7
5/15/2015,750,757.65,738.1,741.05,746.1417364,1912,246,1426623,818,42.78,19.55,-8.95
5/14/2015,753,757.55,745.1,747.95,750.2817724,4965,268,3725149,2201,44.33,12.45,-5.05
5/13/2015,749,769.95,746.25,757.85,760.5486963,11582,834,8808675,3072,26.52,23.7,8.85
5/12/2015,746,760,733.1,738.1,748.7672392,16184,1219,12118049,5362,33.13,26.9,-7.9
5/11/2015,721.5,747.65,720.5,739.1,736.2202555,5480,443,4034487,2198,40.11,27.15,17.6
5/8/2015,715.35,725,712,721.8,719.1418634,4025,809,2894546,1601,39.78,13,6.45
5/7/2015,708.75,716.85,696.25,706.35,706.3732321,2899,678,2047776,1327,45.77,20.6,-2.4
5/6/2015,718,718,703.85,706.1,709.1428132,3249,731,2304005,1514,46.6,14.15,-11.9
5/5/2015,723,729.75,715.95,719.2,722.6419234,2142,290,1547899,1043,48.69,13.8,-3.8
5/4/2015,722.5,729.75,720,722,723.7345952,2483,358,1797033,874,35.2,9.75,-0.5
4/30/2015,711.6,721.5,700,714.05,711.4596853,10294,1866,7323766,4047,39.31,21.5,2.45
4/29/2015,728.45,744,725,738.1,734.2539927,7138,1231,5241105,1783,24.98,19,9.65
4/28/2015,700,733.4,700,728.5,715.9351335,3222,533,2306743,1738,53.94,33.4,28.5
4/27/2015,725,733.05,708,710.8,713.3677388,4166,565,2971890,2181,52.35,25.05,-14.2
4/24/2015,737.2,741.8,720.5,731.2,730.4718192,6547,988,4782399,3785,57.81,21.3,-6
4/23/2015,739.55,760,735.4,739.95,746.6941031,9683,1073,7230239,3392,35.03,24.6,0.4
4/22/2015,735.25,740,728,735.85,734.7098881,3216,708,2362827,1600,49.75,12,0.6
4/21/2015,726.95,745.8,725,729.75,735.1595026,3699,656,2719355,1397,37.77,20.8,2.8
4/20/2015,728.25,740,717.3,734.9,728.6293405,3715,484,2706858,1241,33.41,22.7,6.65
4/17/2015,738.45,738.55,721,724.75,728.5694073,2615,317,1905209,1196,45.74,17.55,-13.7
4/16/2015,726.5,747.1,718,738.35,734.8008832,4982,902,3660778,1676,33.64,29.1,11.85
4/15/2015,736.9,743,725.4,728.25,736.3717277,4393,477,3234881,1422,32.37,17.6,-8.65
