Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
6/26/2013,327.85,329.9,324.05,326.75,327.4270833,1056,102,345763,715,67.71,5.85,-1.1
6/25/2013,325.3,332.05,321.1,327.15,325.6936822,1567,144,510362,859,54.82,10.95,1.85
6/24/2013,333.95,333.95,324.5,331.6,327.8994325,3172,340,1040097,1824,57.5,9.45,-2.35
6/21/2013,338,341.35,329,332,334.2528155,2575,260,860701,1203,46.72,12.35,-6
6/20/2013,335,336.7,327.55,329.25,332.2859083,2945,307,978582,1934,65.67,9.15,-5.75
6/19/2013,340.85,345,338.15,340,342.5304348,805,112,275737,643,79.88,6.85,-0.85
6/18/2013,341.9,348,338.3,340.6,343.1855506,3142,299,1078289,1689,53.76,9.7,-1.3
6/17/2013,344.9,353,342,343.35,347.7997481,4764,330,1656918,1760,36.94,11,-1.55
6/14/2013,344.95,351.65,341.75,347.95,346.4389294,2055,164,711932,1153,56.11,9.9,3
6/13/2013,341,343.45,337,339.1,340.1097461,2442,130,830548,1600,65.52,6.45,-1.9
6/12/2013,338.45,349,338.45,344.7,344.3034357,3289,206,1132414,2450,74.49,10.55,6.25
6/11/2013,345,349.9,339,340.95,344.0800344,2324,201,799642,1581,68.03,10.9,-4.05
6/10/2013,358,359.95,346.9,350.4,355.0366972,2180,172,773980,775,35.55,13.05,-7.6
6/6/2013,345,346.75,342,343.85,344.3633943,3005,134,1034812,822,27.35,4.75,-1.15
6/5/2013,348.05,350.95,344,346,347.1675921,1981,115,687739,1171,59.11,6.95,-2.05
6/4/2013,350.35,356,346.05,351,350.4792049,3270,215,1146067,2213,67.68,9.95,0.65
6/3/2013,347.65,355.8,345.2,348.75,348.8500768,3255,194,1135507,1896,58.25,10.6,1.1
5/31/2013,360,362.95,352.7,354.2,357.4700774,5297,279,1893519,2869,54.16,10.25,-5.8
5/30/2013,363.3,367,360,361.35,363.2415976,4582,222,1664373,2836,61.89,7,-1.95
5/28/2013,373,384,371,373.8,378.6827843,9410,774,3563405,2770,29.44,13,0.8
5/27/2013,370,377.5,366,367.5,371.9171642,2680,194,996738,1395,52.05,11.5,-2.5
5/24/2013,363,379.2,362.1,369.95,372.113564,9105,651,3388094,2895,31.8,17.1,6.95
5/23/2013,375,376.4,359.85,360.95,365.6677492,7082,502,2589659,3227,45.57,16.55,-14.05
5/22/2013,390.2,394,380,380.7,388.0660451,3861,342,1498323,1417,36.7,14,-9.5
5/20/2013,391.35,399.85,377.05,384.85,387.6317743,41499,2312,16086331,7359,17.73,22.8,-6.5
5/17/2013,349.95,408,343.05,394.85,388.153604,102940,3995,39956532,18496,17.97,64.95,44.9
5/16/2013,344,350.85,344,346.15,346.7808667,3669,196,1272339,2131,58.08,6.85,2.15
5/15/2013,344,345.1,339.6,342.9,342.5349475,2189,118,749809,1336,61.03,5.5,-1.1
5/14/2013,340,344.95,337.15,339.1,340.4889563,2309,156,786189,1268,54.92,7.8,-0.9
5/13/2013,349.9,352,338.1,339.3,342.3193673,4678,170,1601370,3558,76.06,13.9,-10.6
5/11/2013,346,346,343.5,345.1,344.7687861,173,10,59645,173,100,2.5,-0.9
5/10/2013,347,349.55,343.8,345.1,345.4247157,5891,207,2034897,4043,68.63,5.75,-1.9
5/9/2013,352,358,345.7,347.15,350.781161,4565,266,1601316,2324,50.91,12.3,-4.85
5/8/2013,355,358.95,349,353.25,353.498081,2345,180,828953,1060,45.2,9.95,-1.75
5/7/2013,360,363.95,355.55,358.75,358.7575044,5097,254,1828587,2173,42.63,8.4,-1.25
5/6/2013,348.1,358,345.05,353.05,352.0876399,8398,435,2956832,3673,43.74,12.95,4.95
5/3/2013,333,343.7,333,341.25,340.1640893,18947,1057,6445089,6782,35.79,10.7,8.25
5/2/2013,320.9,328.8,320.9,323.65,324.660509,4872,212,1581746,2620,53.78,7.9,2.75
4/30/2013,320.5,326.5,315,318.65,319.4309764,3861,361,1233323,1905,49.34,11.5,-1.85
4/29/2013,315.5,316.6,310,314.05,312.7276063,4633,238,1448867,3065,66.16,6.6,-1.45
4/26/2013,325,326,317.85,318.5,322.2764674,1823,81,587510,1126,61.77,8.15,-6.5
4/25/2013,327,334,318.1,323.5,324.7346517,3388,115,1100201,868,25.62,15.9,-3.5
4/23/2013,321,325.9,319,321.3,322.8346553,1639,143,529126,615,37.52,6.9,0.3
4/22/2013,318,322.4,315,316.75,317.4160772,1555,84,493582,1236,79.49,7.4,-1.25
4/18/2013,318,318,312,313.55,314.149472,1231,113,386718,672,54.59,6,-4.45
4/17/2013,318,322,314.15,316.65,317.952041,5463,384,1736972,3420,62.6,7.85,-1.35
4/16/2013,314.05,317.9,312,315.4,314.6502294,872,70,274375,713,81.77,5.9,1.35
4/15/2013,313,316,313,313.5,314.0809192,6179,83,1940706,5290,85.61,3,0.5
4/12/2013,309.95,314,305.8,312,310.3030758,2666,196,827268,1410,52.89,8.2,2.05
4/11/2013,310,315.95,308.3,309.95,310.96875,1120,89,348285,831,74.2,7.65,-0.05
4/10/2013,315,315,303,311,307.3036195,3343,237,1027316,1928,57.67,12,-4
4/9/2013,318,322,313.1,313.95,317.1537217,618,80,196001,364,58.9,8.9,-4.05
4/8/2013,319,324.8,317.35,320.1,320.0253054,1146,53,366749,539,47.03,7.45,1.1
4/5/2013,324,325.5,318.15,320.15,321.765252,754,80,242611,305,40.45,7.35,-3.85
4/4/2013,324,329.5,320,322.3,324.0565642,1432,111,464049,436,30.45,9.5,-1.7
4/3/2013,334,336,326.15,329.5,332.1666667,990,111,328845,492,49.7,9.85,-4.5
4/2/2013,335,336.15,330,333.1,333.2222922,1588,195,529157,839,52.83,6.15,-1.9
4/1/2013,326,333,322.65,330.85,328.5305307,5257,173,1727085,3079,58.57,10.35,4.85
3/28/2013,312.2,320,312,318.25,315.5862884,2538,202,800958,823,32.43,8,6.05
3/26/2013,313.65,318.7,312.2,316.3,316.4168817,2713,161,858439,1950,71.88,6.5,2.65
3/25/2013,321.75,330,314,315.45,320.1046512,1806,207,578109,1244,68.88,16,-6.3
3/21/2013,320,330.8,313.3,327.7,326.637866,6898,385,2253148,4022,58.31,17.5,7.7
3/20/2013,314.1,327.9,310.95,321.15,317.3701603,8110,448,2573872,5560,68.56,16.95,7.05
3/19/2013,321,322,310,318.8,317.1586181,7931,444,2515385,4532,57.14,12,-2.2
3/18/2013,315.5,321.5,310.25,315.3,316.9307536,2946,111,933678,1524,51.73,11.25,-0.2
3/15/2013,329,329,304,313.5,316.5542956,9789,543,3098750,5531,56.5,25,-15.5
3/14/2013,325,328,318.5,326.3,322.6909474,2375,209,766391,1133,47.71,9.5,1.3
3/13/2013,334,334,325,327.4,328.6857143,5460,327,1794624,2773,50.79,9,-6.6
3/12/2013,344.9,345.1,332,335.7,335.7346859,2563,182,860488,1602,62.5,13.1,-9.2
3/11/2013,345.8,346,339.1,341.75,342.7702703,3404,180,1166790,2485,73,6.9,-4.05
3/8/2013,349,350,337,341.35,342.5493408,2503,215,857401,1271,50.78,13,-7.65
3/7/2013,330,343.5,323.05,341.75,336.004304,8829,641,2966582,3891,44.07,20.45,11.75
3/6/2013,308.85,336.9,308,333.1,324.5408916,9623,636,3123057,5419,56.31,28.9,24.25
3/5/2013,299.35,307.85,299.2,305.75,304.4034529,3765,177,1146079,2253,59.84,8.65,6.4
3/4/2013,305.25,305.25,297,297.9,300.0350076,3285,251,985615,1957,59.57,8.25,-7.35
3/1/2013,310,316,305.05,306.85,309.7728485,4125,395,1277813,2148,52.07,10.95,-3.15
2/28/2013,323.3,335,309,310.95,322.6926917,15626,963,5042396,10951,70.08,26,-12.35
2/27/2013,320,326,317,321.9,321.0416476,4370,244,1402952,2728,62.43,9,1.9
2/26/2013,325.05,332,316.6,319.8,321.567511,4303,232,1383705,2693,62.58,15.4,-5.25
2/25/2013,334,336.9,328.6,330.05,331.9085659,2078,127,689706,1414,68.05,8.3,-3.95
2/22/2013,339.7,394,331.05,332,336.3700185,3789,215,1274506,1749,46.16,62.95,-7.7
2/21/2013,341,341.95,333,336.35,336.2608089,2151,161,723297,1326,61.65,8.95,-4.65
2/20/2013,339,344.5,335,343.05,340.2715655,2817,207,958545,1608,57.08,9.5,4.05
2/19/2013,343.7,344,334.8,338.5,337.0225265,2264,130,763019,1750,77.3,9.2,-5.2
2/18/2013,336.5,341.95,335,340.35,339.0940318,2329,133,789750,1218,52.3,6.95,3.85
2/15/2013,337.55,339,333,336.4,334.994092,3216,177,1077341,1652,51.37,6,-1.15
2/14/2013,348.6,348.6,336,337.55,340.2626292,3385,255,1151789,1984,58.61,12.6,-11.05
2/13/2013,348.5,354,347.05,348.6,350.8381743,2410,156,845520,1258,52.2,6.95,0.1
2/12/2013,352.85,353.5,344,346.45,347.3340718,2257,153,783933,1786,79.13,9.5,-6.4
2/11/2013,355.65,359,350,350.55,351.8534997,1843,149,648466,1231,66.79,9,-5.1
2/7/2013,359.15,363.5,359.1,361.15,361.225447,3859,196,1393969,2884,74.73,4.4,2
2/6/2013,365,366,356.2,359.95,360.1609292,3573,185,1286855,2180,61.01,9.8,-5.05
2/5/2013,363.1,367.6,361.05,362.5,362.9757709,2270,97,823955,1390,61.23,6.55,-0.6
2/4/2013,363.95,385,363.95,365,368.846932,4547,355,1677147,1300,28.59,21.05,1.05
2/1/2013,358,363.5,358,361.7,360.1159752,4363,207,1571186,2602,59.64,5.5,3.7
1/31/2013,358.8,366,356,358.05,359.3551109,10546,411,3789759,6641,62.97,10,-0.75
1/30/2013,357.25,364.85,356,357.95,358.4416714,5289,286,1895798,3343,63.21,8.85,0.7
1/29/2013,367,368,356,357.2,362.461252,5639,313,2043919,2987,52.97,12,-9.8
1/28/2013,382.9,383.9,364,367.85,370.5582659,8281,496,3068593,2322,28.04,19.9,-15.05
1/25/2013,372.1,381,370,377,375.8559879,1979,147,743819,906,45.78,11,4.9
1/24/2013,377,384.9,375.1,378.25,377.8167242,4054,236,1531669,1959,48.32,9.8,1.25
1/23/2013,378,379,370,377.85,370.2155514,99155,154,36708723,97661,98.49,9,-0.15
1/22/2013,384,384,377,377.75,379.6006127,6202,259,2354283,4195,67.64,7,-6.25
1/21/2013,384,386.4,380.1,382.3,382.5458109,4082,155,1561552,2627,64.36,6.3,-1.7
1/18/2013,385.05,387.35,380.1,381.65,383.9870188,54001,206,20735683,52610,97.42,7.25,-3.4
1/17/2013,387,387,378.3,382.3,382.6387097,3565,219,1364107,2285,64.1,8.7,-4.7
1/16/2013,392.35,393,383,384.25,387.0529503,8423,475,3260147,4477,53.15,10,-8.1
1/15/2013,396.05,403,390.1,393.4,395.0041083,4138,288,1634527,1865,45.07,12.9,-2.65
1/14/2013,397.4,400,393.1,395.35,395.2701576,2158,74,852993,1210,56.07,6.9,-2.05
1/11/2013,397.2,399.65,393.3,395.7,395.186074,2542,149,1004563,1682,66.17,6.35,-1.5
1/10/2013,399,401.95,395.5,397.95,397.9758035,2769,125,1101995,1005,36.29,6.45,-1.05
1/9/2013,403.1,407,397,397.65,401.0096639,4760,182,1908806,3079,64.68,10,-5.45
1/8/2013,403.05,405,400,402.5,402.2480447,2685,91,1080036,1725,64.25,5,-0.55
1/7/2013,408,410,403,405.5,405.449166,2518,113,1020921,1398,55.52,7,-2.5
1/4/2013,405,409.9,401.1,406.15,405.8940678,5192,150,2107402,3239,62.38,8.8,1.15
1/3/2013,406.9,409.05,402,404.85,404.971831,3266,167,1322638,1501,45.96,7.05,-2.05
1/2/2013,415.9,415.9,393,402.15,406.2906018,14790,331,6009038,11344,76.7,22.9,-13.75
1/1/2013,413.05,413.25,406.4,407.85,408.5913025,4737,186,1935497,2500,52.78,6.85,-5.2
12/31/2012,401,418,395,410.55,404.648009,7986,355,3231519,5332,66.77,23,9.55
12/28/2012,398,403.3,395.15,399.55,399.1021345,4357,198,1738888,3411,78.29,8.15,1.55
12/27/2012,406,406,394,395.55,398.5971701,3463,184,1380342,2323,67.08,12,-10.45
12/26/2012,395,409.75,394.6,405.15,404.8983474,6414,345,2597018,3464,54.01,15.15,10.15
12/24/2012,401.55,401.55,389,394.45,394.8790235,7332,300,2895253,4162,56.76,12.55,-7.1
12/21/2012,404,407,396,397,400.2222222,5049,239,2020722,2938,58.19,11,-7
12/20/2012,406.9,406.9,400.15,402.4,402.4851162,5207,186,2095740,3448,66.22,6.75,-4.5
12/19/2012,412,412,402.1,403.85,406.1498462,6500,275,2639974,4614,70.98,9.9,-8.15
12/18/2012,410.35,413,406.3,408,408.0609399,29685,223,12113289,26648,89.77,6.7,-2.35
12/17/2012,413,415,410,410.5,412.8289562,1485,79,613051,943,63.5,5,-2.5
12/14/2012,411,414.65,409.1,411.9,411.9569939,2302,164,948325,1098,47.7,5.55,0.9
12/13/2012,415,416.6,408,409.55,413.4649492,4037,173,1669158,1879,46.54,8.6,-5.45
12/12/2012,412,418,411,413.35,416.3660647,5316,226,2213402,3037,57.13,7,1.35
12/11/2012,416,417,413,414.6,415.5012094,3721,208,1546080,2071,55.66,4,-1.4
12/10/2012,420.65,420.65,413.05,415.1,416.4881589,2618,138,1090366,1644,62.8,7.6,-5.55
12/7/2012,422,424,416.7,417.65,419.3851938,5187,194,2175351,3262,62.89,7.3,-4.35
12/6/2012,419.1,424,414,418.5,418.7457502,2706,199,1133126,1545,57.1,10,-0.6
12/5/2012,425.45,427.5,417.15,419.1,421.411707,8149,282,3434084,5017,61.57,10.35,-6.35
12/4/2012,420,431,418.5,424.55,425.8144456,6521,362,2776736,2612,40.06,12.5,4.55
12/3/2012,421,426.7,416.1,417.65,420.2068822,7207,324,3028431,3095,42.94,10.6,-3.35
11/30/2012,427,429,413.05,418.45,418.708056,11718,502,4906421,4752,40.55,15.95,-8.55
11/29/2012,423,433,420,423.15,426.3020492,14640,553,6241062,8363,57.12,13,0.15
11/27/2012,414,428.75,412.05,422.3,418.4755193,6740,226,2820525,4814,71.42,16.7,8.3
11/26/2012,408.45,414,408.45,411.15,411.6342908,3377,111,1390089,2073,61.39,5.55,2.7
11/23/2012,415.6,415.6,410,411.8,411.6069346,3259,102,1341427,2587,79.38,5.6,-3.8
11/22/2012,413.25,417.7,411.75,413,414.0953067,3473,240,1438153,1287,37.06,5.95,-0.25
11/21/2012,410,413,408.15,410.05,410.6631183,3194,105,1311658,2273,71.16,4.85,0.05
11/20/2012,407.25,411.9,407,410.15,409.7608,2500,104,1024402,2103,84.12,4.9,2.9
11/19/2012,410,410,401.2,404.85,405.7904907,4606,351,1869071,2544,55.23,8.8,-5.15
11/16/2012,416,419,406.05,409.55,412.572329,3173,235,1309092,2081,65.58,12.95,-6.45
11/13/2012,421,421.95,413.05,418.95,418.2723258,4076,239,1704878,2338,57.36,8.9,-2.05
11/12/2012,415.95,417.25,411,413.95,412.9552505,5609,204,2316266,2843,50.69,6.25,-2
11/9/2012,415,418,411,411.6,412.9797042,2907,226,1200532,1657,57,7,-3.4
11/8/2012,409,422,409,417.65,414.8355147,5654,287,2345480,3029,53.57,13,8.65
11/7/2012,418.45,418.45,411,412.35,412.4959989,7498,389,3092895,2912,38.84,7.45,-6.1
11/6/2012,420.1,420.1,412,414.25,415.0433483,2676,142,1110656,1254,46.86,8.1,-5.85
11/5/2012,415.5,420,415,417.3,417.3664263,5963,191,2488756,3623,60.76,5,1.8
11/2/2012,425,427.4,411.65,415.35,420.5047365,11612,513,4882901,5982,51.52,15.75,-9.65
10/31/2012,414.8,420.1,405.25,408.65,413.297463,23650,650,9774485,13155,55.62,14.85,-6.15
10/30/2012,415,419,408,414.7,413.0872199,3302,216,1364014,1523,46.12,11,-0.3
10/29/2012,428.6,428.6,414,415.75,419.3261456,2226,178,933420,786,35.31,14.6,-12.85
10/26/2012,422.3,431.4,417.1,424.2,425.2644711,15911,825,6766383,7482,47.02,14.3,1.9
10/25/2012,419,422,411,417.2,414.8787989,5495,480,2279759,3783,68.84,11,-1.8
10/23/2012,426.95,428.8,414.85,418.65,419.0770475,59340,499,24868032,53574,90.28,13.95,-8.3
10/22/2012,423.75,426.4,420,424.6,423.4358835,7385,517,3127074,3699,50.09,6.4,0.85
10/19/2012,419.95,426.4,418.1,421.3,421.7545105,18734,2275,7901149,13990,74.68,8.3,1.35
10/18/2012,415.3,420.3,414.05,419.1,417.1994681,8272,508,3451074,4837,58.47,6.25,3.8
10/17/2012,415.8,417,411.25,413.75,414.0897594,9726,720,4027437,5919,60.86,5.75,-2.05
10/16/2012,402.4,414.05,402.4,411.4,411.0770621,14391,711,5915810,5914,41.1,11.65,9
10/15/2012,404.75,405.7,398.3,404.05,403.1298665,3596,246,1449655,2088,58.06,7.4,-0.7
10/12/2012,404,408.9,400,400.6,403.8610008,8813,327,3559227,4765,54.07,8.9,-3.4
10/11/2012,395,403.7,391.25,400.8,399.314747,17468,685,6975230,9082,51.99,12.45,5.8
10/10/2012,398,400,393.05,394.7,397.7253525,19789,225,7870587,18100,91.46,6.95,-3.3
10/9/2012,404.25,408,397.15,400.15,401.0685236,18023,511,7228458,11766,65.28,10.85,-4.1
10/8/2012,406,411.95,400.15,401.7,405.4424415,10207,516,4138351,5052,49.5,11.8,-4.3
10/5/2012,421,423.6,406,408.1,411.5284728,11590,505,4769615,5632,48.59,17.6,-12.9
10/4/2012,411.05,429,411.05,417.15,422.8394417,42128,1291,17813380,14745,35,17.95,6.1
10/3/2012,409.9,419.15,407.6,410.55,413.0982635,12151,697,5019557,3802,31.29,11.55,0.65
10/1/2012,405.6,416.95,403.85,408.3,409.5525725,11584,500,4744257,4498,38.83,13.1,2.7
9/28/2012,404,411,400,404.7,404.6034197,12691,503,5134822,4742,37.37,11,0.7
9/27/2012,401.25,408,395.15,400.45,402.0268245,14278,645,5740139,7027,49.22,12.85,-0.8
9/26/2012,403,404.65,395.1,401.1,400.667678,11865,441,4753922,4136,34.86,9.55,-1.9
9/25/2012,408,409.95,400.5,401.5,404.8156275,7474,429,3025592,2263,30.28,9.45,-6.5
9/24/2012,405,414.95,401.2,405.4,408.9842066,20135,950,8234897,8007,39.77,13.75,0.4
9/21/2012,398.6,406.5,395,404.9,401.9174368,26186,890,10524610,11710,44.72,11.5,6.3
9/20/2012,374.2,398.4,374.2,395.05,391.4243916,38792,1673,15184135,14090,36.32,24.2,20.85
9/18/2012,375.5,382,371,379.85,379.1181955,15339,552,5815294,10235,66.73,11,4.35
9/17/2012,375,378,369.5,374.05,373.4512128,12739,472,4757395,6819,53.53,8.5,-0.95
9/14/2012,373.7,375.65,370.05,370.55,372.7534125,9011,445,3358881,3538,39.26,5.6,-3.15
9/13/2012,371.75,374,366,367.65,369.9861261,182285,607,67442921,175221,96.12,8,-4.1
9/11/2012,379,381,374.75,375.4,377.3610305,5512,291,2080014,2727,49.47,6.25,-3.6
9/10/2012,380,385,379.55,381.8,382.2189045,5057,348,1932881,2255,44.59,5.45,1.8
9/8/2012,382,385,380,380.35,381.0398593,853,33,325027,800,93.79,5,-1.65
9/7/2012,387,388.4,378.1,380.75,382.7165046,8949,496,3424930,3001,33.53,10.3,-6.25
9/6/2012,379.7,385,379,379.7,381.4583472,6002,330,2289513,2371,39.5,6,0
9/5/2012,374.5,382.9,374.5,376.6,378.4109955,10859,545,4109165,4959,45.67,8.4,2.1
9/4/2012,375,379.45,371.15,376.65,374.1582119,7136,331,2669993,2834,39.71,8.3,1.65
9/3/2012,378.1,381.95,373.05,376.4,377.356276,5768,335,2176591,1901,32.96,8.9,-1.7
8/31/2012,379.95,379.95,372.25,375.85,375.8449952,5245,253,1971307,1950,37.18,7.7,-4.1
8/30/2012,373.9,381,366.55,378.55,373.9156926,16084,830,6014060,4934,30.68,14.45,4.65
8/29/2012,387,390,374.05,376.05,379.9914433,7947,484,3019792,3493,43.95,15.95,-10.95
8/28/2012,400,409,385,387.2,395.2648437,24977,965,9872530,7147,28.61,24,-12.8
8/27/2012,394,399.95,391.05,395.65,396.4569527,13369,544,5300233,4629,34.62,8.9,1.65
8/24/2012,403,405,390.9,391.85,395.8644573,17773,1050,7035699,7523,42.33,14.1,-11.15
8/23/2012,386.2,405.5,386.2,403.65,399.0083736,46097,2002,18393089,16551,35.9,19.3,17.45
8/22/2012,380,391,379.8,385.05,386.9308362,16873,727,6528684,4734,28.06,11.2,5.05
8/21/2012,382.7,384.5,380.35,382,382.5168677,4891,201,1870890,2149,43.94,4.15,-0.7
8/17/2012,379.8,389.55,379.8,382.35,384.4771127,15904,696,6114724,4412,27.74,9.75,2.55
8/16/2012,373.4,384.35,373,378.4,380.173713,14783,839,5620108,3404,23.03,11.35,5
8/14/2012,371,373.25,369,372,371.3730262,16846,557,6256150,7707,45.75,4.25,1
8/13/2012,373.4,375.25,367,371.6,371.4029723,5854,299,2174193,2857,48.8,8.25,-1.8
8/10/2012,378,385,372.05,374.8,375.6214905,5770,353,2167336,1922,33.31,12.95,-3.2
8/9/2012,381.4,384.6,375.6,377.15,378.9013092,8937,402,3386241,5085,56.9,9,-4.25
8/8/2012,384.6,389.4,379.3,380.9,384.7061316,4012,251,1543441,1314,32.75,10.1,-3.7
8/7/2012,383,392.15,381.6,384.5,386.817265,7437,467,2876760,1781,23.95,10.55,1.5
8/6/2012,386,389.4,380.05,381.85,385.3716573,5871,294,2262517,2898,49.36,9.35,-4.15
8/3/2012,387.8,389.3,382.65,385.65,386.0478988,7829,439,3022369,2256,28.82,6.65,-2.15
8/2/2012,383.05,393.5,379.8,391.35,388.3613403,17698,801,6873219,6082,34.37,13.7,8.3
8/1/2012,363,386.65,363,383.55,378.0200983,31545,1169,11924644,13209,41.87,23.65,20.55
7/31/2012,367,367.7,361.55,364.3,364.350379,8311,415,3028116,2410,29,6.15,-2.7
7/30/2012,358.55,369,347.4,367.1,357.2654212,37789,1270,13500703,16620,43.98,21.6,8.55
7/27/2012,384.8,389.8,358.4,362,372.1805363,19431,835,7231840,9060,46.63,31.4,-22.8
7/25/2012,379.8,380.95,370.5,377.55,376.163821,10835,528,4075735,2341,21.61,10.45,-2.25
7/24/2012,379.7,382.3,373.45,380.6,378.2906792,11941,613,4517169,4097,34.31,8.85,0.9
7/23/2012,390,390,378.05,380.4,382.9890669,9238,499,3538053,4840,52.39,11.95,-9.6
7/20/2012,398.7,399,386.55,388.7,393.8814644,9997,421,3937633,3907,39.08,12.45,-10
7/19/2012,391.5,396.95,391,394.65,394.0924065,9653,563,3804174,4186,43.36,5.95,3.15
7/18/2012,382.4,390,378,387.05,384.1559817,12463,515,4787736,5024,40.31,12,4.65
7/17/2012,404.65,404.9,382.2,384.2,392.4086491,15123,754,5934396,5605,37.06,22.7,-20.45
7/16/2012,403,409,402.4,406.8,406.4249748,22799,675,9266083,14951,65.58,6.6,3.8
7/13/2012,407,409,400.15,402.6,404.9622501,10755,519,4355369,6580,61.18,8.85,-4.4
7/12/2012,408,411.6,399.9,403.85,404.9946752,10329,696,4183190,4299,41.62,11.7,-4.15
7/11/2012,415.95,417,409.8,410.95,412.2171313,11873,554,4894254,3434,28.92,7.2,-5
7/10/2012,410,422.45,410,413.8,417.0290256,44409,1798,18519842,10545,23.75,12.45,3.8
7/9/2012,410.5,412.5,401.15,407.3,407.7068871,20081,855,8187162,4445,22.14,11.35,-3.2
7/6/2012,420.2,422.75,407,410.45,413.8958615,38420,1410,15901879,11925,31.04,15.75,-9.75
7/5/2012,398.05,419.5,398.05,418.3,414.3087074,125721,3867,52087305,41537,33.04,21.45,20.25
7/4/2012,389.6,400.95,388.2,397.55,394.7047052,35429,1309,13983993,13141,37.09,12.75,7.95
7/3/2012,386.05,392,386.05,388.65,389.4176803,12907,474,5026214,5416,41.96,5.95,2.6
7/2/2012,386.5,395.5,385.5,387.3,390.1881875,12546,628,4895301,3259,25.98,10,0.8
6/29/2012,384,393.85,382.5,391.15,388.6769788,25698,914,9988221,10425,40.57,11.35,7.15
6/28/2012,388.45,388.45,376.95,379.25,383.4774034,25911,767,9936283,5779,22.3,11.5,-9.2
6/27/2012,373,386.8,371.1,384.15,380.344786,56377,1401,21442698,16967,30.1,15.7,11.15
6/26/2012,371.8,373.95,367.7,370.1,370.9285352,5919,205,2195526,2176,36.76,6.25,-1.7
6/25/2012,374,380,371,371.7,376.2160616,14158,533,5326467,4933,34.84,9,-2.3
6/22/2012,372.55,374.65,366,370.95,370.6603726,11969,450,4436434,3256,27.2,8.65,-1.6
6/21/2012,373.9,378,372.05,374.4,375.2955789,20289,829,7614372,5455,26.89,5.95,0.5
6/20/2012,367.9,376.2,367,372.7,371.6774989,60037,2273,22314402,14991,24.97,9.2,4.8
6/19/2012,354.5,368,348.25,365.9,360.234143,40471,1482,14579036,9361,23.13,19.75,11.4
6/18/2012,360.75,362.35,351.05,354.55,358.4444823,20570,635,7373203,5197,25.26,11.3,-6.2
6/15/2012,345.5,357,345.5,356.1,352.6221726,16579,630,5846123,7361,44.4,11.5,10.6
6/14/2012,355.9,358.5,343.7,344.5,349.3265465,18025,901,6296611,7777,43.15,14.8,-11.4
6/13/2012,351.55,361.65,350.05,355.9,357.6132078,32299,1571,11550549,8247,25.53,11.6,4.35
6/12/2012,345.65,350.5,339,348.2,344.8789615,24612,960,8488161,5183,21.06,11.5,2.55
6/8/2012,347.3,355,344.4,352.65,350.9502252,41527,1237,14573910,6341,15.27,10.6,5.35
6/7/2012,354,354,347,350.8,351.3212206,19924,804,6999724,4556,22.87,7,-3.2
6/6/2012,345.6,351,342.55,349.75,346.9440506,42038,1351,14584834,11619,27.64,8.45,4.15
6/5/2012,333.35,346.5,333.35,342.4,343.1134824,23616,781,8102968,11150,47.21,13.15,9.05
6/4/2012,336.4,337.45,327,335.65,333.196333,14017,802,4670413,3359,23.96,10.45,-0.75
6/1/2012,344,345.7,335.35,339,340.7538047,31934,1096,10881632,8324,26.07,10.35,-5
5/31/2012,345.4,350.5,342.7,344,345.3834689,24826,837,8574490,13394,53.95,7.8,-1.4
5/30/2012,356.05,356.95,346.2,348,351.5058462,20184,713,7094794,7110,35.23,10.75,-8.05
5/29/2012,355.05,360.1,354.55,357.05,356.7899278,29090,922,10379019,3362,11.56,5.55,2
5/28/2012,364.95,367.4,354.3,355.5,360.6327884,21105,1190,7611155,6129,29.04,13.1,-9.45
5/25/2012,358,362.95,357.4,361.85,361.1703225,12218,703,4412779,3946,32.3,5.55,3.85
5/24/2012,350.5,360,347.65,358.4,351.0840174,116452,1259,40884436,8244,7.08,12.35,7.9
5/23/2012,361.1,361.1,348.45,350.55,354.7650206,28594,1120,10144151,8750,30.6,12.65,-10.55
5/22/2012,361,367.9,360.25,361.4,363.711877,39084,1465,14215315,7041,18.02,7.65,0.4
5/21/2012,355,362.4,353,357.7,357.9230042,21157,853,7572577,4471,21.13,9.4,2.7
5/18/2012,341,356.8,339,353.95,347.2278538,46543,1698,16161026,11836,25.43,17.8,12.95
5/17/2012,352,357.5,341.15,343.9,351.2483665,27242,1303,9568708,7129,26.17,16.35,-8.1
5/16/2012,344.2,356.7,344.05,351.2,350.8333965,42184,1667,14799556,16738,39.68,12.65,7
5/15/2012,347,353,344.85,351.45,350.1696623,29877,1064,10462019,8912,29.83,8.15,4.45
5/14/2012,346,354.65,343,348.85,347.7737992,30022,1329,10440865,11690,38.94,11.65,2.85
5/11/2012,347,350,340.2,345.4,345.1222426,40935,1614,14127579,10693,26.12,9.8,-1.6
5/10/2012,354.4,360.5,347.3,349.4,354.6557121,35906,1564,12734268,7305,20.34,13.2,-5
5/9/2012,356.4,365,352,354.1,359.2816831,50287,1742,18067198,12623,25.1,13,-2.3
5/8/2012,371.45,378,357.5,360.75,368.726736,56912,2109,20984976,14589,25.63,20.5,-10.7
5/7/2012,351.3,371,349.6,369.7,359.9643385,46689,2108,16806375,11768,25.21,21.4,18.4
